run_id,layer,head,metric,value
20260528_020,1,3,cka_ablated,0.9353194728015581
20260528_020,1,3,cka_delta_vs_baseline,-0.009516264815951248
20260528_021,-1,-1,baseline_cka,0.9390906659308405
20260528_021,0,0,cka_ablated,0.928599455499985
20260528_021,0,0,cka_delta_vs_baseline,-0.010491210430855435
20260528_021,0,1,cka_ablated,0.9526887226652955
20260528_021,0,1,cka_delta_vs_baseline,0.013598056734455022
20260528_021,0,2,cka_ablated,0.9159178793692507
20260528_021,0,2,cka_delta_vs_baseline,-0.02317278656158972
20260528_021,0,3,cka_ablated,0.8787984219054894
20260528_021,0,3,cka_delta_vs_baseline,-0.06029224402535105
20260528_021,1,0,cka_ablated,0.9356618812550581
20260528_021,1,0,cka_delta_vs_baseline,-0.003428784675782337
20260528_021,1,1,cka_ablated,0.9358547894618094
20260528_021,1,1,cka_delta_vs_baseline,-0.003235876469031007
20260528_021,1,2,cka_ablated,0.9383103711923013
20260528_021,1,2,cka_delta_vs_baseline,-0.0007802947385391334
20260528_021,1,3,cka_ablated,0.9299053581477539
20260528_021,1,3,cka_delta_vs_baseline,-0.009185307783086571
20260528_022,-1,-1,baseline_cka,0.8902630724597461
20260528_022,0,0,cka_ablated,0.9050406129181789
20260528_022,0,0,cka_delta_vs_baseline,0.014777540458432825
20260528_022,0,1,cka_ablated,0.8984403569544192
20260528_022,0,1,cka_delta_vs_baseline,0.008177284494673032
20260528_022,0,2,cka_ablated,0.8410081370075067
20260528_022,0,2,cka_delta_vs_baseline,-0.04925493545223947
20260528_022,0,3,cka_ablated,0.8287119475534422
20260528_022,0,3,cka_delta_vs_baseline,-0.06155112490630388
20260528_022,1,0,cka_ablated,0.8851886117662858
20260528_022,1,0,cka_delta_vs_baseline,-0.005074460693460292
20260528_022,1,1,cka_ablated,0.8777347162507627
20260528_022,1,1,cka_delta_vs_baseline,-0.012528356208983404
20260528_022,1,2,cka_ablated,0.8801194320675405
20260528_022,1,2,cka_delta_vs_baseline,-0.01014364039220561
20260528_022,1,3,cka_ablated,0.8847114926999806
20260528_022,1,3,cka_delta_vs_baseline,-0.0055515797597655014
20260528_023,-1,-1,baseline_cka,0.8820471436696501
20260528_023,0,0,cka_ablated,0.9126046809555912
20260528_023,0,0,cka_delta_vs_baseline,0.030557537285941128
20260528_023,0,1,cka_ablated,0.8809609196142705
20260528_023,0,1,cka_delta_vs_baseline,-0.0010862240553796143
20260528_023,0,2,cka_ablated,0.5972874652607654
20260528_023,0,2,cka_delta_vs_baseline,-0.2847596784088847
20260528_023,0,3,cka_ablated,0.9331040135867287
20260528_023,0,3,cka_delta_vs_baseline,0.051056869917078584
20260528_023,1,0,cka_ablated,0.877507435858672
20260528_023,1,0,cka_delta_vs_baseline,-0.004539707810978122
20260528_023,1,1,cka_ablated,0.8793416025090486
20260528_023,1,1,cka_delta_vs_baseline,-0.00270554116060151
20260528_023,1,2,cka_ablated,0.8755808777668448
20260528_023,1,2,cka_delta_vs_baseline,-0.0064662659028053016
